Date,Symbol,Entry,Exit,Score,Result,PnL_Pct,Balance,Profit_Cash
9,ICLE,34.02,37.422000000000004,0.93,TARGET HIT 🎯,0.1,110000,1000.0
9,SVCE,2.38,2.2609999999999997,0.65,STOP LOSS ❌,-0.05,152998,-500.0
9,SCTS,72.93,80.22300000000001,0.95,TARGET HIT 🎯,0.1,193458,1000.0
10,WATP,8.01,7.6095,0.82,STOP LOSS ❌,-0.05,104500,-500.0
10,NHPS,32.0,35.2,0.69,TARGET HIT 🎯,0.1,121000,1000.0
10,SCTS,72.949997,80.2449967,0.95,TARGET HIT 🎯,0.1,212804,1000.0
10,ELEC,1.784,1.9624000000000001,0.66,TARGET HIT 🎯,0.1,110000,1000.0
10,EGREF,11.0,12.100000000000001,0.96,TARGET HIT 🎯,0.1,138081,1000.0
10,GTHE,2.03,1.9284999999999997,0.71,STOP LOSS ❌,-0.05,99275,-500.0
10,ACAP,0.604,0.6644,0.61,TARGET HIT 🎯,0.1,146410,1000.0
10,KRDI,1.541,1.6951,0.62,TARGET HIT 🎯,0.1,161051,1000.0
10,SCFM,34.080002,37.488002200000004,0.93,TARGET HIT 🎯,0.1,246405,1000.0
10,KABO,2.817316,2.6764501999999997,0.62,STOP LOSS ❌,-0.05,80860,-500.0
11,IRAX,1400.0,1330.0,0.76,STOP LOSS ❌,-0.05,95000,-500.0
11,MEPA,1.251,1.1884499999999998,0.71,STOP LOSS ❌,-0.05,109202,-500.0
11,ANFI,9.75,9.2625,0.65,STOP LOSS ❌,-0.05,95000,-500.0
11,EPPK,8.4,7.9799999999999995,0.6,STOP LOSS ❌,-0.05,104500,-500.0
11,SCFM,34.200001,37.6200011,0.94,TARGET HIT 🎯,0.1,271046,1000.0
11,ADPC,2.34,2.223,0.65,STOP LOSS ❌,-0.05,126445,-500.0
11,SVCE,2.44,2.318,0.65,STOP LOSS ❌,-0.05,145348,-500.0
11,DSCW,0.86,0.9460000000000001,0.65,TARGET HIT 🎯,0.1,132135,1000.0
11,OFH,0.394,0.3743,0.61,STOP LOSS ❌,-0.05,94311,-500.0
11,SCTS,72.529999,79.78299890000001,0.94,TARGET HIT 🎯,0.1,234085,1000.0
11,KRDI,1.561,1.7171,0.66,TARGET HIT 🎯,0.1,177156,1000.0
12,SVCE,2.51,2.3844999999999996,0.64,STOP LOSS ❌,-0.05,138081,-500.0
12,SCTS,73.989998,81.38899780000001,0.95,TARGET HIT 🎯,0.1,257493,1000.0
12,MEPA,1.296,1.2312,0.7,STOP LOSS ❌,-0.05,103742,-500.0
12,SCFM,34.799999,38.2799989,0.96,TARGET HIT 🎯,0.1,298150,1000.0
12,ADPC,2.3,2.53,0.6,TARGET HIT 🎯,0.1,139089,1000.0
12,KRDI,1.591,1.7501000000000002,0.63,TARGET HIT 🎯,0.1,194871,1000.0
12,ACAP,0.6,0.66,0.65,TARGET HIT 🎯,0.1,161051,1000.0
12,MIPH,190.0,193.2,0.87,TIME EXIT (1.7%),0.016842105263157835,101684,168.42105263157836
12,KABO,2.825906,2.6846107,0.66,STOP LOSS ❌,-0.05,76817,-500.0
12,DSCW,0.9,0.9900000000000001,0.71,TARGET HIT 🎯,0.1,145348,1000.0
12,SMPP,50.0,55.00000000000001,0.96,TARGET HIT 🎯,0.1,110000,1000.0
12,OFH,0.403,0.38285,0.64,STOP LOSS ❌,-0.05,89595,-500.0
13,SCFM,34.009998,37.410997800000004,0.95,TARGET HIT 🎯,0.1,327965,1000.0
13,EPPK,8.18,7.770999999999999,0.64,STOP LOSS ❌,-0.05,99275,-500.0
13,OFH,0.397,0.37715,0.61,STOP LOSS ❌,-0.05,85115,-500.0
13,EITP,4.0,4.4,0.89,TARGET HIT 🎯,0.1,133100,1000.0
13,DSCW,0.874,0.9614,0.65,TARGET HIT 🎯,0.1,159883,1000.0
13,NBKE,19.0,20.900000000000002,0.9,TARGET HIT 🎯,0.1,104500,1000.0
13,SCTS,73.400002,80.7400022,0.96,TARGET HIT 🎯,0.1,283243,1000.0
13,WCDF,251.0,238.45,0.8,STOP LOSS ❌,-0.05,104500,-500.0
13,KABO,2.76578,2.6274909999999996,0.64,STOP LOSS ❌,-0.05,72976,-500.0
13,ACAP,0.625,0.6875,0.63,TARGET HIT 🎯,0.1,177156,1000.0
13,KRDI,1.598,1.7578000000000003,0.62,TARGET HIT 🎯,0.1,214358,1000.0
14,EPPK,8.13,7.7235000000000005,0.63,STOP LOSS ❌,-0.05,94311,-500.0
14,SCTS,72.550003,79.80500330000001,0.95,TARGET HIT 🎯,0.1,311567,1000.0
14,ICLE,35.200001,38.720001100000005,0.97,TARGET HIT 🎯,0.1,121000,1000.0
14,SCFM,34.049999,37.4549989,0.94,TARGET HIT 🎯,0.1,360762,1000.0
14,ACAP,0.651,0.6184499999999999,0.64,STOP LOSS ❌,-0.05,168298,-500.0
14,KRDI,1.612,1.7732000000000003,0.62,TARGET HIT 🎯,0.1,235794,1000.0
14,GTHE,1.71,1.6244999999999998,0.64,STOP LOSS ❌,-0.05,94311,-500.0
14,MEPA,1.252,1.1894,0.63,STOP LOSS ❌,-0.05,98555,-500.0
14,DSCW,0.887334,0.9760674,0.64,TARGET HIT 🎯,0.1,175871,1000.0
14,WCDF,244.52,268.97200000000004,0.92,TARGET HIT 🎯,0.1,114950,1000.0
15,EITP,0.27,0.29700000000000004,0.93,TARGET HIT 🎯,0.1,146410,1000.0
